,evocode,LP,ploidy,evoEnvt,evoEnvt-ploidy,evoEnvt-ploidy-LP,30-200,37-200,AA-200,RT-200,NaCl-200,principal component 1,principal component 2,Epoch
0,p8-F1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.003945374328796022,0.0024870717993595074,0.0006341103173755499,0.014571606453248814,0.018977559883304282,-1.4681256393757725,-0.23839563836576536,200.0
1,p8-C2,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.009008546057928977,0.005824016913850565,-0.00018102794557739704,0.015912688685019376,0.023596360259620357,-1.0477164778708286,-0.5482057505497074,200.0
2,p7-D10,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.02100081908302097,0.006048877739842955,0.006105846357539254,0.01834490140393539,0.050257650304597765,-0.04380154497573614,-1.4743801143714754,200.0
3,p8-D1,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.008940182944128475,0.007737686356631633,-0.002621907317169855,0.01364204715885775,0.010005824752672554,-1.1815746959265956,-0.16907341496973766,200.0
4,p8-C4,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.0051673464548262354,0.004230433322206677,0.013523546185261373,0.0036841723138025277,0.024423312892505177,-1.3204311746324127,-0.62675018125461,200.0
5,p8-D3,1.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-1.0,0.004668216427942632,0.002221198670025441,-0.0008494594634628956,0.016677342517448807,0.019453440527136656,-1.4183943464830377,-0.21654191217677043,200.0
6,p8-F2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,-0.004632676740335923,0.002790806136544804,0.005981095270665555,0.004731964948327884,0.0200124956461628,-1.992714501839921,-0.44669434167496,200.0
7,p7-G12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.010799730908599604,0.00542886897156401,0.0013393882836452045,0.0058221029152009055,0.034682738775993927,-0.9719726129179581,-1.1091462323202408,200.0
8,p7-G10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.00629475512835893,0.0028804755358523724,0.0009663280946075052,0.009814375522355053,0.045111235631402895,-1.1386220439847865,-1.338454926503281,200.0
9,p7-C10,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0009750060164535669,0.0008930592474312216,-0.0012246433725476291,0.02552000436126045,0.012038510282395365,-1.6149627625265854,0.26761559854560235,200.0
10,p7-E12,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.006935605211341661,0.004681992321694161,-0.0005843106717803412,0.009229027561271376,0.03356368175997737,-1.187117849849285,-0.997248769923777,200.0
11,p8-E3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.0033230024057899926,0.0020028171202896346,0.011704242707641598,0.011309802129884057,0.014150223471927723,-1.49817487259808,-0.011840405714715682,200.0
12,p7-F9,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.005266127668978815,0.005114002618492186,-0.002899689801332911,0.020067991790606393,0.0351044253569907,-1.1324165838154305,-0.9193507432679061,200.0
13,p8-C3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.006982459469580487,0.0016094268825764479,0.0013995913866239771,0.0033110157802226097,0.024202439259380037,-1.4163800133297006,-0.5692805134410506,200.0
14,p8-E1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.013143569331142541,0.004471869667347927,-0.0009337482267096301,-0.003110601480635654,0.01675904774357747,-1.1800137592884756,-0.5234540254888426,200.0
15,p8-G1,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.01899953914452923,0.010657368468043826,0.0044658849728869965,0.007954016086114676,0.03799058274782448,-0.2939283545626484,-1.4126616557450051,200.0
16,p8-G3,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.01702644611430882,0.01165314343682724,0.011028531273613718,0.08676079527568768,0.03446394802149065,0.679406483829348,0.010756507159680647,200.0
17,p8-B2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.02722949660119294,0.012941439372853275,0.0029559381360963538,0.009860735604145467,0.04162214706439204,0.26087523948893365,-1.618445095088284,200.0
18,p8-D2,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.026423954021462893,0.011444534235277354,0.004035524673075768,0.01854631237470474,0.039977671370842224,0.28350078683868596,-1.3338971546802454,200.0
19,p8-F4,2.0,H,YPD(37C),YPD(37C)-H,YPD(37C)-H-2.0,0.01937578210871093,0.013628948577532624,0.002313681681553204,-0.0024958444003450484,0.02468941524572312,-0.47538729096292576,-1.2280488401342933,200.0
20,p4-C8,1.0,D,YPD,YPD-D,YPD-D-1.0,0.032364478894265275,0.023245168834640034,0.10138909753392794,0.036234974494252885,0.04691981909084128,2.1548345121454795,-1.239681472812635,200.0
